sigma,t,phi_s
0.5778894472361809,14.120603015075378,-2.8005378365242257
0.578894472361809,14.120603015075378,-2.788522349803029
0.5798994974874372,14.120603015075378,-2.776654290039301
0.5809045226130654,14.120603015075378,-2.7649303127104607
0.5819095477386935,14.120603015075378,-2.7533471813787287
0.5829145728643216,14.120603015075378,-2.7419017633081575
0.5839195979899497,14.120603015075378,-2.730591025286864
0.5849246231155779,14.120603015075378,-2.719412029644266
0.585929648241206,14.120603015075378,-2.70836193045354
0.5869346733668341,14.120603015075378,-2.6974379699100357
0.5879396984924623,14.120603015075378,-2.686637474876787
0.5889447236180905,14.120603015075378,-2.675957853588712
0.5899497487437186,14.120603015075378,-2.6653965925075003
0.5909547738693467,14.120603015075378,-2.6549512533196165
0.5919597989949749,14.120603015075378,-2.6446194700701957
0.592964824120603,14.120603015075378,-2.6343989464260282
0.5939698492462312,14.120603015075378,-2.6242874530611253
0.5949748743718593,14.120603015075378,-2.614282825158759
0.5959798994974874,14.120603015075378,-2.6043829600241364
0.5969849246231156,14.120603015075378,-2.5945858148022207
0.5979899497487438,14.120603015075378,-2.5848894042954624
0.5989949748743719,14.120603015075378,-2.575291798876508
0.6,14.120603015075378,-2.5657911224912104
0.4,14.170854271356784,-2.4290890328421795
0.4010050251256282,14.170854271356784,-2.4384279184304565
0.4020100502512563,14.170854271356784,-2.4478363173374365
0.40301507537688447,14.170854271356784,-2.457315097192949
0.4040201005025126,14.170854271356784,-2.4668651337065914
0.40502512562814075,14.170854271356784,-2.4764873102568536
0.40603015075376886,14.170854271356784,-2.4861825174259473
0.407035175879397,14.170854271356784,-2.4959516524754597
0.40804020100502514,14.170854271356784,-2.505795618757516
0.4090452261306533,14.170854271356784,-2.5157153250557105
0.4100502512562814,14.170854271356784,-2.525711684849555
0.4110552763819096,14.170854271356784,-2.5357856154956893
0.4120603015075377,14.170854271356784,-2.54593803731849
0.41306532663316586,14.170854271356784,-2.556169872602142
0.414070351758794,14.170854271356784,-2.5664820444755136
0.41507537688442214,14.170854271356784,-2.576875475680499
0.41608040201005025,14.170854271356784,-2.5873510872136465
0.4170854271356784,14.170854271356784,-2.5979097968301135
0.41809045226130653,14.170854271356784,-2.6085525173979853
0.4190954773869347,14.170854271356784,-2.6192801550900713
0.4201005025125628,14.170854271356784,-2.6300936073991648
0.421105527638191,14.170854271356784,-2.6409937609616287
0.4221105527638191,14.170854271356784,-2.651981489172883
0.42311557788944726,14.170854271356784,-2.6630576495770555
0.42412060301507537,14.170854271356784,-2.674223081011567
0.42512562814070354,14.170854271356784,-2.68547860048589
0.4261306532663317,14.170854271356784,-2.6968249997720117
0.4271356783919598,14.170854271356784,-2.7082630416823537
0.428140703517588,14.170854271356784,-2.7197934560089476
0.4291457286432161,14.170854271356784,-2.73141693509561
0.43015075376884426,14.170854271356784,-2.743134129012656
0.4311557788944724,14.170854271356784,-2.754945640301321
